,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
19565,20150603-M-Roland_Garros-QF-Roger_Federer-Stan_Wawrinka,Roger Federer,Total,71,59,21,35,12,20150603,M,Roland_Garros,QF
19569,20150603-M-Roland_Garros-QF-Roger_Federer-Stan_Wawrinka,Stan Wawrinka,Total,102,43,19,46,8,20150603,M,Roland_Garros,QF
19573,20220327-M-Miami_Masters-R32-Casper_Ruud-Alexander_Bublik,Casper Ruud,Total,10,44,5,12,0,20220327,M,Miami_Masters,R32
19577,20220327-M-Miami_Masters-R32-Casper_Ruud-Alexander_Bublik,Alexander Bublik,Total,22,27,2,14,0,20220327,M,Miami_Masters,R32
19581,20220406-M-Houston-R16-J_J_Wolf-Gijs_Brouwer,J J Wolf,Total,74,41,22,16,6,20220406,M,Houston,R16
19585,20220406-M-Houston-R16-J_J_Wolf-Gijs_Brouwer,Gijs Brouwer,Total,85,30,24,17,4,20220406,M,Houston,R16
19589,20220408-M-Houston-QF-Reilly_Opelka-Gijs_Brouwer,Reilly Opelka,Total,63,9,18,22,3,20220408,M,Houston,QF
19593,20220408-M-Houston-QF-Reilly_Opelka-Gijs_Brouwer,Gijs Brouwer,Total,53,31,15,12,4,20220408,M,Houston,QF
19597,20220401-M-Miami_Masters-SF-Hubert_Hurkacz-Carlos_Alcaraz,Hubert Hurkacz,Total,67,26,25,24,5,20220401,M,Miami_Masters,SF
19601,20220401-M-Miami_Masters-SF-Hubert_Hurkacz-Carlos_Alcaraz,Carlos Alcaraz,Total,79,33,24,17,8,20220401,M,Miami_Masters,SF
19605,20220406-M-Houston-R16-Tommy_Paul-Nick_Kyrgios,Tommy Paul,Total,34,45,3,19,0,20220406,M,Houston,R16
19609,20220406-M-Houston-R16-Tommy_Paul-Nick_Kyrgios,Nick Kyrgios,Total,32,46,6,7,0,20220406,M,Houston,R16
19613,20220409-M-Houston-SF-Reilly_Opelka-Nick_Kyrgios,Reilly Opelka,Total,28,26,3,19,0,20220409,M,Houston,SF
19617,20220409-M-Houston-SF-Reilly_Opelka-Nick_Kyrgios,Nick Kyrgios,Total,18,44,3,11,0,20220409,M,Houston,SF
19621,20050715-M-Davis_Cup_World_Group_QF-RR-Lleyton_Hewitt-Guillermo_Coria,Lleyton Hewitt,Total,216,21,62,30,4,20050715,M,Davis_Cup_World_Group_QF,RR
19625,20050715-M-Davis_Cup_World_Group_QF-RR-Lleyton_Hewitt-Guillermo_Coria,Guillermo Coria,Total,138,22,107,36,14,20050715,M,Davis_Cup_World_Group_QF,RR
19629,20220410-M-Houston-F-Reilly_Opelka-John_Isner,Reilly Opelka,Total,22,52,6,24,0,20220410,M,Houston,F
19633,20220410-M-Houston-F-Reilly_Opelka-John_Isner,John Isner,Total,16,52,4,14,0,20220410,M,Houston,F
19637,20220411-M-Monte_Carlo_Masters-R64-Jo_Wilfried_Tsonga-Marin_Cilic,Jo Wilfried Tsonga,Total,22,47,5,25,0,20220411,M,Monte_Carlo_Masters,R64
19641,20220411-M-Monte_Carlo_Masters-R64-Jo_Wilfried_Tsonga-Marin_Cilic,Marin Cilic,Total,25,47,2,20,0,20220411,M,Monte_Carlo_Masters,R64
19645,20220315-M-Indian_Wells_Masters-R32-John_Isner-Diego_Schwartzman,John Isner,Total,13,36,2,24,0,20220315,M,Indian_Wells_Masters,R32
19649,20220315-M-Indian_Wells_Masters-R32-John_Isner-Diego_Schwartzman,Diego Schwartzman,Total,24,57,5,8,1,20220315,M,Indian_Wells_Masters,R32
19653,20220414-M-Barletta_CH-R16-Oleksandr_Ovcharenko-Nuno_Borges,Oleksandr Ovcharenko,Total,69,136,13,14,0,20220414,M,Barletta_CH,R16
19657,20220414-M-Barletta_CH-R16-Oleksandr_Ovcharenko-Nuno_Borges,Nuno Borges,Total,80,104,9,48,0,20220414,M,Barletta_CH,R16
19661,20220414-M-Monte_Carlo_Masters-R16-Casper_Ruud-Grigor_Dimitrov,Casper Ruud,Total,35,100,6,42,0,20220414,M,Monte_Carlo_Masters,R16
