,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
8247,20150318-M-Indian_Wells_Masters-R16-Roger_Federer-Jack_Sock,Roger Federer,Total,43,18,13,15,5,20150318,M,Indian_Wells_Masters,R16
8251,20150318-M-Indian_Wells_Masters-R16-Roger_Federer-Jack_Sock,Jack Sock,Total,23,19,8,38,9,20150318,M,Indian_Wells_Masters,R16
8255,20151105-M-Paris_Masters-R16-John_Isner-Roger_Federer,John Isner,Total,49,48,11,21,8,20151105,M,Paris_Masters,R16
8259,20151105-M-Paris_Masters-R16-John_Isner-Roger_Federer,Roger Federer,Total,57,45,14,34,7,20151105,M,Paris_Masters,R16
8263,20151104-M-Paris_Masters-R32-Andreas_Seppi-Roger_Federer,Andreas Seppi,Total,35,27,5,9,2,20151104,M,Paris_Masters,R32
8267,20151104-M-Paris_Masters-R32-Andreas_Seppi-Roger_Federer,Roger Federer,Total,31,21,10,15,3,20151104,M,Paris_Masters,R32
8271,20090504-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,98,109,46,41,1,20090504,M,Rome_Masters,F
8275,20090504-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,131,86,30,37,8,20090504,M,Rome_Masters,F
8279,20170904-M-Alphen_Aan_Den_Rijn_CH-R32-Yannick_Maden-Karim_Mohamed_Maamoun,Yannick Maden,Total,94,54,20,18,2,20170904,M,Alphen_Aan_Den_Rijn_CH,R32
8282,20170904-M-Alphen_Aan_Den_Rijn_CH-R32-Yannick_Maden-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,98,51,20,20,5,20170904,M,Alphen_Aan_Den_Rijn_CH,R32
8286,20171030-M-Eckental_CH-R32-Karim_Mohamed_Maamoun-Mirza_Basic,Karim Mohamed Maamoun,Total,72,108,11,30,0,20171030,M,Eckental_CH,R32
8290,20171030-M-Eckental_CH-R32-Karim_Mohamed_Maamoun-Mirza_Basic,Mirza Basic,Total,69,85,15,20,1,20171030,M,Eckental_CH,R32
8294,20170915-M-Istanbul_CH-QF-Altug_Celikbilek-Karim_Mohamed_Maamoun,Altug Celikbilek,Total,58,74,12,26,1,20170915,M,Istanbul_CH,QF
8298,20170915-M-Istanbul_CH-QF-Altug_Celikbilek-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,83,66,14,20,1,20170915,M,Istanbul_CH,QF
8302,20170913-M-Istanbul_CH-R16-Karim_Mohamed_Maamoun-Uladzimir_Ignatik,Karim Mohamed Maamoun,Total,63,69,7,20,1,20170913,M,Istanbul_CH,R16
8306,20170913-M-Istanbul_CH-R16-Karim_Mohamed_Maamoun-Uladzimir_Ignatik,Uladzimir Ignatik,Total,56,59,16,24,0,20170913,M,Istanbul_CH,R16
8310,20170916-M-Istanbul_CH-SF-Malek_Jaziri-Karim_Mohamed_Maamoun,Malek Jaziri,Total,124,118,19,27,2,20170916,M,Istanbul_CH,SF
8314,20170916-M-Istanbul_CH-SF-Malek_Jaziri-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,123,100,13,49,1,20170916,M,Istanbul_CH,SF
8318,20170919-M-Izmir_CH-R32-Malek_Jaziri-Karim_Mohamed_Maamoun,Malek Jaziri,Total,101,78,21,18,1,20170919,M,Izmir_CH,R32
8322,20170919-M-Izmir_CH-R32-Malek_Jaziri-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,100,73,16,31,5,20170919,M,Izmir_CH,R32
8326,20170921-M-Izmir_CH-R16-Aleksandr_Nedovyesov-Karim_Mohamed_Maamoun,Aleksandr Nedovyesov,Total,69,83,12,17,2,20170921,M,Izmir_CH,R16
8330,20170921-M-Izmir_CH-R16-Aleksandr_Nedovyesov-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,67,87,4,29,1,20170921,M,Izmir_CH,R16
8334,20170818-M-Meerbusch_CH-QF-Jeremy_Jahn-Karim_Mohamed_Maamoun,Jeremy Jahn,Total,101,53,14,38,4,20170818,M,Meerbusch_CH,QF
8338,20170818-M-Meerbusch_CH-QF-Jeremy_Jahn-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,100,61,15,17,1,20170818,M,Meerbusch_CH,QF
8342,20171113-M-Pune_CH-R32-N_Sriram_Balaji-Karim_Mohamed_Maamoun,N Sriram Balaji,Total,47,41,7,2,0,20171113,M,Pune_CH,R32
8346,20171113-M-Pune_CH-R32-N_Sriram_Balaji-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,48,46,3,19,0,20171113,M,Pune_CH,R32
8350,20170517-M-Samarkand_CH-R16-Karim_Mohamed_Maamoun-Nikola_Milojevic,Karim Mohamed Maamoun,Total,128,200,14,50,2,20170517,M,Samarkand_CH,R16
8354,20170517-M-Samarkand_CH-R16-Karim_Mohamed_Maamoun-Nikola_Milojevic,Nikola Milojevic,Total,133,174,17,70,2,20170517,M,Samarkand_CH,R16
8358,20170803-M-Segovia_CH-R16-Karim_Mohamed_Maamoun-Alex_De_Minaur,Karim Mohamed Maamoun,Total,73,111,2,27,2,20170803,M,Segovia_CH,R16
8362,20170803-M-Segovia_CH-R16-Karim_Mohamed_Maamoun-Alex_De_Minaur,Alex De Minaur,Total,42,119,15,14,1,20170803,M,Segovia_CH,R16
8366,19851207-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl,Stefan Edberg,Total,39,14,28,11,1,19851207,M,Australian_Open,SF
8370,19851207-M-Australian_Open-SF-Stefan_Edberg-Ivan_Lendl,Ivan Lendl,Total,46,13,20,10,2,19851207,M,Australian_Open,SF
8374,19961027-M-Stuttgart_Masters-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,66,22,28,7,2,19961027,M,Stuttgart_Masters,F
8378,19961027-M-Stuttgart_Masters-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,44,17,25,22,0,19961027,M,Stuttgart_Masters,F
8382,20170819-M-Meerbusch_CH-SF-Andreas_Haider_Maurer-Karim_Mohamed_Maamoun,Andreas Haider Maurer,Total,92,131,15,52,3,20170819,M,Meerbusch_CH,SF
8386,20170819-M-Meerbusch_CH-SF-Andreas_Haider_Maurer-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,119,139,16,46,5,20170819,M,Meerbusch_CH,SF
8390,20170817-M-Meerbusch_CH-R16-Marc_Sieber-Karim_Mohamed_Maamoun,Marc Sieber,Total,66,49,40,35,5,20170817,M,Meerbusch_CH,R16
8394,20170817-M-Meerbusch_CH-R16-Marc_Sieber-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,88,47,21,14,3,20170817,M,Meerbusch_CH,R16
8398,20070510-M-Rome_Masters-R16-Roger_Federer-Filippo_Volandri,Roger Federer,Total,91,30,40,20,4,20070510,M,Rome_Masters,R16
8402,20070510-M-Rome_Masters-R16-Roger_Federer-Filippo_Volandri,Filippo Volandri,Total,110,21,14,34,8,20070510,M,Rome_Masters,R16
8406,19920823-M-New_Haven-SF-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Total,35,7,18,9,8,19920823,M,New_Haven,SF
8410,19920823-M-New_Haven-SF-Ivan_Lendl-Stefan_Edberg,Stefan Edberg,Total,25,7,12,3,0,19920823,M,New_Haven,SF
8414,20051106-M-Paris_Masters-F-Tomas_Berdych-Ivan_Ljubicic,Tomas Berdych,Total,94,31,22,50,9,20051106,M,Paris_Masters,F
8418,20051106-M-Paris_Masters-F-Tomas_Berdych-Ivan_Ljubicic,Ivan Ljubicic,Total,90,55,19,18,1,20051106,M,Paris_Masters,F
8422,19991128-M-Tour_Finals-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,15,12,4,6,0,19991128,M,Tour_Finals,F
8426,19991128-M-Tour_Finals-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,27,20,14,16,0,19991128,M,Tour_Finals,F
8430,19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl,Stefan Edberg,Total,81,18,28,9,0,19871025,M,Tokyo_Indoor,F
8434,19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl,Ivan Lendl,Total,91,25,32,30,4,19871025,M,Tokyo_Indoor,F
8438,19940313-M-Miami_Masters-F-Andre_Agassi-Pete_Sampras,Andre Agassi,Total,85,55,38,44,7,19940313,M,Miami_Masters,F
8442,19940313-M-Miami_Masters-F-Andre_Agassi-Pete_Sampras,Pete Sampras,Total,110,51,27,27,6,19940313,M,Miami_Masters,F
8446,19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich,Pete Sampras,Total,64,31,23,21,2,19931121,M,Tour_Finals,F
8450,19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich,Michael Stich,Total,58,40,20,17,3,19931121,M,Tour_Finals,F
8454,19971102-M-Paris_Masters-F-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,42,29,18,14,6,19971102,M,Paris_Masters,F
8458,19971102-M-Paris_Masters-F-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,63,20,18,10,0,19971102,M,Paris_Masters,F
8462,19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,Pete Sampras,Total,57,31,17,15,6,19910811,M,Cincinnati_Masters,F
8466,19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,Guy Forget,Total,59,27,21,20,5,19910811,M,Cincinnati_Masters,F
8470,20171014-M-Shanghai_Masters-SF-Juan_Martin_Del_Potro-Roger_Federer,Juan Martin Del Potro,Total,78,51,23,36,4,20171014,M,Shanghai_Masters,SF
8474,20171014-M-Shanghai_Masters-SF-Juan_Martin_Del_Potro-Roger_Federer,Roger Federer,Total,60,50,16,34,5,20171014,M,Shanghai_Masters,SF
8478,20180116-M-Australian_Open-R128-Roger_Federer-Aljaz_Bedene,Roger Federer,Total,66,28,31,13,7,20180116,M,Australian_Open,R128
8482,20180116-M-Australian_Open-R128-Roger_Federer-Aljaz_Bedene,Aljaz Bedene,Total,67,24,13,39,8,20180116,M,Australian_Open,R128
8486,20180120-M-Australian_Open-R32-Roger_Federer-Richard_Gasquet,Roger Federer,Total,82,27,31,23,14,20180120,M,Australian_Open,R32
8490,20180120-M-Australian_Open-R32-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,98,29,34,14,0,20180120,M,Australian_Open,R32
8494,20180118-M-Australian_Open-R64-Jan_Lennard_Struff-Roger_Federer,Jan Lennard Struff,Total,86,25,20,26,3,20180118,M,Australian_Open,R64
8498,20180118-M-Australian_Open-R64-Jan_Lennard_Struff-Roger_Federer,Roger Federer,Total,67,39,20,22,10,20180118,M,Australian_Open,R64
8502,20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,Marin Cilic,Total,126,33,41,45,11,20180128,M,Australian_Open,F
8506,20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,Roger Federer,Total,111,55,18,28,9,20180128,M,Australian_Open,F
8510,19921108-M-Paris_Masters-F-Guy_Forget-Boris_Becker,Guy Forget,Total,23,22,19,10,1,19921108,M,Paris_Masters,F
8514,19921108-M-Paris_Masters-F-Guy_Forget-Boris_Becker,Boris Becker,Total,30,10,15,10,0,19921108,M,Paris_Masters,F
8518,20180126-M-Australian_Open-SF-Hyeon_Chung-Roger_Federer,Hyeon Chung,Total,44,37,6,8,1,20180126,M,Australian_Open,SF
8522,20180126-M-Australian_Open-SF-Hyeon_Chung-Roger_Federer,Roger Federer,Total,30,33,12,9,1,20180126,M,Australian_Open,SF
8526,19950730-M-Canada_Masters-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,115,40,31,23,4,19950730,M,Canada_Masters,F
8530,19950730-M-Canada_Masters-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,133,35,20,41,8,19950730,M,Canada_Masters,F
8534,20140103-M-Brisbane-QF-Marin_Cilic-Kei_Nishikori,Marin Cilic,Total,93,85,13,37,1,20140103,M,Brisbane,QF
8538,20140103-M-Brisbane-QF-Marin_Cilic-Kei_Nishikori,Kei Nishikori,Total,103,84,18,23,2,20140103,M,Brisbane,QF
8542,19951119-M-Tour_Finals-F-Michael_Chang-Boris_Becker,Michael Chang,Total,42,37,10,21,6,19951119,M,Tour_Finals,F
8546,19951119-M-Tour_Finals-F-Michael_Chang-Boris_Becker,Boris Becker,Total,31,21,11,18,0,19951119,M,Tour_Finals,F
8550,20001203-M-Tour_Finals-F-Andre_Agassi-Gustavo_Kuerten,Andre Agassi,Total,134,47,23,24,7,20001203,M,Tour_Finals,F
8554,20001203-M-Tour_Finals-F-Andre_Agassi-Gustavo_Kuerten,Gustavo Kuerten,Total,119,57,38,27,0,20001203,M,Tour_Finals,F
8558,20001119-M-Paris_Masters-F-Mark_Philippoussis-Marat_Safin,Mark Philippoussis,Total,93,85,25,27,1,20001119,M,Paris_Masters,F
8562,20001119-M-Paris_Masters-F-Mark_Philippoussis-Marat_Safin,Marat Safin,Total,129,67,28,33,1,20001119,M,Paris_Masters,F
8566,20180217-M-Chennai_CH-R32-Jordan_Thompson-Karim_Mohamed_Maamoun,Jordan Thompson,Total,46,80,12,30,0,20180217,M,Chennai_CH,R32
8570,20180217-M-Chennai_CH-R32-Jordan_Thompson-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,66,73,6,34,3,20180217,M,Chennai_CH,R32
8574,20180117-M-Koblenz_CH-R32-Christopher_Heyman-Karim_Mohamed_Maamoun,Christopher Heyman,Total,43,55,19,14,5,20180117,M,Koblenz_CH,R32
8578,20180117-M-Koblenz_CH-R32-Christopher_Heyman-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,52,62,12,18,2,20180117,M,Koblenz_CH,R32
8582,20000326-M-Miami_Masters-F-Pete_Sampras-Gustavo_Kuerten,Pete Sampras,Total,42,12,16,10,4,20000326,M,Miami_Masters,F
8586,20000326-M-Miami_Masters-F-Pete_Sampras-Gustavo_Kuerten,Gustavo Kuerten,Total,84,31,20,21,3,20000326,M,Miami_Masters,F
8590,19941120-M-Tour_Finals-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,38,16,18,13,1,19941120,M,Tour_Finals,F
8594,19941120-M-Tour_Finals-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,23,15,14,4,0,19941120,M,Tour_Finals,F
8598,19971116-M-Tour_Finals-F-Pete_Sampras-Yevgeny_Kafelnikov,Pete Sampras,Total,63,25,13,12,6,19971116,M,Tour_Finals,F
8602,19971116-M-Tour_Finals-F-Pete_Sampras-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,70,16,19,24,0,19971116,M,Tour_Finals,F
8606,19980816-M-Cincinnati_Masters-F-Pete_Sampras-Patrick_Rafter,Pete Sampras,Total,8,5,3,4,2,19980816,M,Cincinnati_Masters,F
8610,19980816-M-Cincinnati_Masters-F-Pete_Sampras-Patrick_Rafter,Patrick Rafter,Total,10,1,5,2,0,19980816,M,Cincinnati_Masters,F
8614,19980809-M-Canada_Masters-F-Patrick_Rafter-Richard_Krajicek,Patrick Rafter,Total,15,1,8,5,0,19980809,M,Canada_Masters,F
8618,19980809-M-Canada_Masters-F-Patrick_Rafter-Richard_Krajicek,Richard Krajicek,Total,11,3,6,2,1,19980809,M,Canada_Masters,F
8622,19960707-M-Wimbledon-F-Richard_Krajicek-Malivai_Washington,Richard Krajicek,Total,22,12,13,12,3,19960707,M,Wimbledon,F
8626,19960707-M-Wimbledon-F-Richard_Krajicek-Malivai_Washington,Malivai Washington,Total,34,18,11,7,2,19960707,M,Wimbledon,F
8630,19950813-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Michael Chang,Total,60,30,37,19,3,19950813,M,Cincinnati_Masters,F
8634,19950813-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Andre Agassi,Total,80,19,17,32,7,19950813,M,Cincinnati_Masters,F
8638,20180215-M-Rotterdam-R16-Roger_Federer-Philipp_Kohlschreiber,Roger Federer,Total,66,41,18,25,5,20180215,M,Rotterdam,R16
8642,20180215-M-Rotterdam-R16-Roger_Federer-Philipp_Kohlschreiber,Philipp Kohlschreiber,Total,63,54,18,29,2,20180215,M,Rotterdam,R16
8646,19990516-M-Rome_Masters-F-Patrick_Rafter-Gustavo_Kuerten,Patrick Rafter,Total,45,31,8,7,0,19990516,M,Rome_Masters,F
8650,19990516-M-Rome_Masters-F-Patrick_Rafter-Gustavo_Kuerten,Gustavo Kuerten,Total,41,24,30,21,5,19990516,M,Rome_Masters,F
8654,19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Michael Chang,Total,83,58,35,19,1,19960811,M,Cincinnati_Masters,F
8658,19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Andre Agassi,Total,102,31,21,30,7,19960811,M,Cincinnati_Masters,F
8662,20180225-M-Marseille-F-Lucas_Pouille-Karen_Khachanov,Lucas Pouille,Total,75,39,18,28,4,20180225,M,Marseille,F
8666,20180225-M-Marseille-F-Lucas_Pouille-Karen_Khachanov,Karen Khachanov,Total,55,34,22,31,1,20180225,M,Marseille,F
8670,19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget,Pete Sampras,Total,110,69,56,47,4,19911103,M,Paris_Masters,F
8674,19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget,Guy Forget,Total,127,91,38,42,4,19911103,M,Paris_Masters,F
8678,20060831-M-US_Open-R64-Marcos_Baghdatis-Andre_Agassi,Marcos Baghdatis,Total,268,125,94,85,10,20060831,M,US_Open,R64
8682,20060831-M-US_Open-R64-Marcos_Baghdatis-Andre_Agassi,Andre Agassi,Total,359,128,49,41,4,20060831,M,US_Open,R64
8686,19951105-M-Paris_Masters-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,89,22,28,18,2,19951105,M,Paris_Masters,F
8690,19951105-M-Paris_Masters-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,51,20,42,21,0,19951105,M,Paris_Masters,F
8694,20180228-M-Dubai-R16-Karen_Khachanov-Lucas_Pouille,Karen Khachanov,Total,50,38,18,26,0,20180228,M,Dubai,R16
8698,20180228-M-Dubai-R16-Karen_Khachanov-Lucas_Pouille,Lucas Pouille,Total,49,41,15,32,1,20180228,M,Dubai,R16
8702,19981129-M-Tour_Finals-F-Alex_Corretja-Carlos_Moya,Alex Corretja,Total,254,122,85,93,19,19981129,M,Tour_Finals,F
8706,19981129-M-Tour_Finals-F-Alex_Corretja-Carlos_Moya,Carlos Moya,Total,253,146,58,71,21,19981129,M,Tour_Finals,F
8710,19950312-M-Indian_Wells_Masters-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,97,42,30,15,3,19950312,M,Indian_Wells_Masters,F
8714,19950312-M-Indian_Wells_Masters-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,88,32,32,45,13,19950312,M,Indian_Wells_Masters,F
8718,19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker,Juan Aguilera,Total,304,160,66,50,2,19900513,M,Hamburg_Masters,F
8722,19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker,Boris Becker,Total,234,178,63,83,9,19900513,M,Hamburg_Masters,F
8726,19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,Brad Gilbert,Total,22,14,7,13,1,19900812,M,Cincinnati_Masters,F
8730,19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,Stefan Edberg,Total,17,6,9,6,1,19900812,M,Cincinnati_Masters,F
8734,19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg,Andre Agassi,Total,246,100,79,44,5,19900311,M,Indian_Wells_Masters,F
8738,19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg,Stefan Edberg,Total,157,126,63,27,0,19900311,M,Indian_Wells_Masters,F
8742,19911117-M-Tour_Finals-F-Pete_Sampras-Jim_Courier,Pete Sampras,Total,112,55,32,30,5,19911117,M,Tour_Finals,F
8746,19911117-M-Tour_Finals-F-Pete_Sampras-Jim_Courier,Jim Courier,Total,92,52,26,83,10,19911117,M,Tour_Finals,F
8750,20180124-M-Australian_Open-QF-Tomas_Berdych-Roger_Federer,Tomas Berdych,Total,103,24,39,46,3,20180124,M,Australian_Open,QF
8754,20180124-M-Australian_Open-QF-Tomas_Berdych-Roger_Federer,Roger Federer,Total,104,44,36,21,12,20180124,M,Australian_Open,QF
8758,20180122-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,Roger Federer,Total,101,43,29,28,7,20180122,M,Australian_Open,R16
8762,20180122-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,Marton Fucsovics,Total,98,50,33,40,8,20180122,M,Australian_Open,R16
8766,20180123-M-Australian_Open-QF-Rafael_Nadal-Marin_Cilic,Rafael Nadal,Total,151,59,62,32,6,20180123,M,Australian_Open,QF
8770,20180123-M-Australian_Open-QF-Rafael_Nadal-Marin_Cilic,Marin Cilic,Total,147,53,58,31,18,20180123,M,Australian_Open,QF
8774,19920426-M-Monte_Carlo_Masters-F-Aaron_Krickstein-Thomas_Muster,Aaron Krickstein,Total,170,122,38,42,13,19920426,M,Monte_Carlo_Masters,F
8778,19920426-M-Monte_Carlo_Masters-F-Aaron_Krickstein-Thomas_Muster,Thomas Muster,Total,180,114,48,42,10,19920426,M,Monte_Carlo_Masters,F
8782,19920726-M-Canada_Masters-F-Andre_Agassi-Ivan_Lendl,Andre Agassi,Total,118,46,23,29,7,19920726,M,Canada_Masters,F
8786,19920726-M-Canada_Masters-F-Andre_Agassi-Ivan_Lendl,Ivan Lendl,Total,104,71,22,23,8,19920726,M,Canada_Masters,F
8790,19920510-M-Hamburg_Masters-F-Stefan_Edberg-Michael_Stich,Stefan Edberg,Total,61,32,30,13,1,19920510,M,Hamburg_Masters,F
8794,19920510-M-Hamburg_Masters-F-Stefan_Edberg-Michael_Stich,Michael Stich,Total,51,40,29,14,0,19920510,M,Hamburg_Masters,F
8798,19981101-M-Stuttgart_Masters-F-Yevgeny_Kafelnikov-Richard_Krajicek,Yevgeny Kafelnikov,Total,35,22,10,11,1,19981101,M,Stuttgart_Masters,F
8802,19981101-M-Stuttgart_Masters-F-Yevgeny_Kafelnikov-Richard_Krajicek,Richard Krajicek,Total,20,16,7,6,0,19981101,M,Stuttgart_Masters,F
8806,19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,Petr Korda,Total,125,80,27,42,2,19910728,M,Canada_Masters,F
8810,19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,Andrei Chesnokov,Total,97,106,31,32,0,19910728,M,Canada_Masters,F
8814,20180318-M-Indian_Wells_Masters-F-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,95,63,35,38,11,20180318,M,Indian_Wells_Masters,F
8818,20180318-M-Indian_Wells_Masters-F-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,117,59,24,43,9,20180318,M,Indian_Wells_Masters,F
8822,19980315-M-Indian_Wells_Masters-F-Marcelo_Rios-Greg_Rusedski,Marcelo Rios,Total,94,40,20,49,2,19980315,M,Indian_Wells_Masters,F
8826,19980315-M-Indian_Wells_Masters-F-Marcelo_Rios-Greg_Rusedski,Greg Rusedski,Total,53,43,17,16,1,19980315,M,Indian_Wells_Masters,F
8830,19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster,Andrei Chesnokov,Total,311,252,62,69,4,19900429,M,Monte_Carlo_Masters,F
8834,19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster,Thomas Muster,Total,316,196,77,81,23,19900429,M,Monte_Carlo_Masters,F
8838,19920517-M-Rome_Masters-F-Jim_Courier-Carlos_Costa,Jim Courier,Total,95,84,18,50,12,19920517,M,Rome_Masters,F
8842,19920517-M-Rome_Masters-F-Jim_Courier-Carlos_Costa,Carlos Costa,Total,90,89,38,31,3,19920517,M,Rome_Masters,F
8846,19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren,Mats Wilander,Total,30,30,30,22,0,19841209,M,Australian_Open,F
8850,19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren,Kevin Curren,Total,33,25,10,19,0,19841209,M,Australian_Open,F
8854,19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson,Karel Novacek,Total,153,70,25,59,6,19910512,M,Hamburg_Masters,F
8858,19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson,Magnus Gustafsson,Total,81,120,33,72,31,19910512,M,Hamburg_Masters,F
8862,19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget,Jim Courier,Total,124,84,34,33,7,19910310,M,Indian_Wells_Masters,F
8866,19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget,Guy Forget,Total,98,101,49,32,9,19910310,M,Indian_Wells_Masters,F
8870,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,Denis Shapovalov,Total,51,28,25,15,4,20170318,M,Drummondville_CH,SF
8874,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,Felix Auger Aliassime,Total,53,29,26,18,0,20170318,M,Drummondville_CH,SF
8878,20170226-M-Delray_Beach-SF-Milos_Raonic-Juan_Martin_Del_Potro,Milos Raonic,Total,33,11,19,49,14,20170226,M,Delray_Beach,SF
8882,20170226-M-Delray_Beach-SF-Milos_Raonic-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,69,26,14,19,3,20170226,M,Delray_Beach,SF
8886,19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker,Sergi Bruguera,Total,266,165,115,68,11,19910428,M,Monte_Carlo_Masters,F
8890,19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker,Boris Becker,Total,303,126,89,82,7,19910428,M,Monte_Carlo_Masters,F
8894,20180401-M-Miami_Masters-F-John_Isner-Alexander_Zverev,John Isner,Total,39,36,26,49,6,20180401,M,Miami_Masters,F
8898,20180401-M-Miami_Masters-F-John_Isner-Alexander_Zverev,Alexander Zverev,Total,101,36,8,16,1,20180401,M,Miami_Masters,F
8902,19990509-M-Hamburg_Masters-F-Marcelo_Rios-Mariano_Zabaleta,Marcelo Rios,Total,264,117,79,65,5,19990509,M,Hamburg_Masters,F
8906,19990509-M-Hamburg_Masters-F-Marcelo_Rios-Mariano_Zabaleta,Mariano Zabaleta,Total,226,117,97,65,27,19990509,M,Hamburg_Masters,F
8910,20180106-M-Brisbane-SF-Grigor_Dimitrov-Nick_Kyrgios,Grigor Dimitrov,Total,58,19,28,21,8,20180106,M,Brisbane,SF
8914,20180106-M-Brisbane-SF-Grigor_Dimitrov-Nick_Kyrgios,Nick Kyrgios,Total,61,16,10,19,2,20180106,M,Brisbane,SF
8918,20180107-M-Brisbane-F-Ryan_Harrison-Nick_Kyrgios,Ryan Harrison,Total,28,32,16,15,4,20180107,M,Brisbane,F
8922,20180107-M-Brisbane-F-Ryan_Harrison-Nick_Kyrgios,Nick Kyrgios,Total,42,13,13,14,3,20180107,M,Brisbane,F
8926,20120319-M-Indian_Wells_Masters-F-Roger_Federer-John_Isner,Roger Federer,Total,38,28,13,40,11,20120319,M,Indian_Wells_Masters,F
8930,20120319-M-Indian_Wells_Masters-F-Roger_Federer-John_Isner,John Isner,Total,35,30,23,34,10,20120319,M,Indian_Wells_Masters,F
8934,19940508-M-Hamburg_Masters-F-Yevgeny_Kafelnikov-Andrei_Medvedev,Yevgeny Kafelnikov,Total,227,129,32,80,7,19940508,M,Hamburg_Masters,F
