,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
15983,20150417-M-Monte_Carlo_Masters-QF-Milos_Raonic-Tomas_Berdych,Milos Raonic,Total,15,3,11,3,9,3,0,44,20150417,M,Monte_Carlo_Masters,QF
16003,20150417-M-Monte_Carlo_Masters-QF-Milos_Raonic-Tomas_Berdych,Tomas Berdych,Total,28,14,22,14,21,14,1,80,20150417,M,Monte_Carlo_Masters,QF
16022,20150418-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,66,30,56,27,53,27,2,373,20150418,M,Monte_Carlo_Masters,SF
16042,20150418-M-Monte_Carlo_Masters-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,57,18,51,18,45,18,0,339,20150418,M,Monte_Carlo_Masters,SF
16062,20150418-M-Monte_Carlo_Masters-SF-Tomas_Berdych-Gael_Monfils,Tomas Berdych,Total,46,23,37,23,35,23,2,191,20150418,M,Monte_Carlo_Masters,SF
16083,20150418-M-Monte_Carlo_Masters-SF-Tomas_Berdych-Gael_Monfils,Gael Monfils,Total,50,15,39,14,39,14,0,270,20150418,M,Monte_Carlo_Masters,SF
16103,20150420-M-Barcelona-R64-Pablo_Carreno_Busta-Teymuraz_Gabashvili,Pablo Carreno Busta,Total,69,22,56,19,53,19,2,298,20150420,M,Barcelona,R64
16124,20150420-M-Barcelona-R64-Pablo_Carreno_Busta-Teymuraz_Gabashvili,Teymuraz Gabashvili,Total,75,30,50,25,48,25,0,312,20150420,M,Barcelona,R64
16145,20150421-M-Barcelona-R64-Fernando_Verdasco-Andrey_Rublev,Fernando Verdasco,Total,72,22,63,21,61,21,1,387,20150421,M,Barcelona,R64
16166,20150421-M-Barcelona-R64-Fernando_Verdasco-Andrey_Rublev,Andrey Rublev,Total,85,38,64,34,64,34,3,341,20150421,M,Barcelona,R64
16187,20150423-M-Barcelona-R16-Kei_Nishikori-Santiago_Giraldo,Kei Nishikori,Total,51,28,44,27,44,27,2,270,20150423,M,Barcelona,R16
16208,20150423-M-Barcelona-R16-Kei_Nishikori-Santiago_Giraldo,Santiago Giraldo,Total,64,25,46,22,44,22,4,298,20150423,M,Barcelona,R16
16229,20150424-M-Barcelona-QF-Roberto_Bautista_Agut-Kei_Nishikori,Roberto Bautista Agut,Total,61,15,52,15,50,15,2,296,20150424,M,Barcelona,QF
16250,20150424-M-Barcelona-QF-Roberto_Bautista_Agut-Kei_Nishikori,Kei Nishikori,Total,79,37,59,33,57,33,2,402,20150424,M,Barcelona,QF
16271,20150424-M-Bucharest-QF-Lukas_Rosol-Guillermo_Garcia_Lopez,Lukas Rosol,Total,86,33,64,30,62,30,4,412,20150424,M,Bucharest,QF
16288,20150424-M-Bucharest-QF-Lukas_Rosol-Guillermo_Garcia_Lopez,Guillermo Garcia Lopez,Total,81,33,69,29,65,29,1,370,20150424,M,Bucharest,QF
16306,20150425-M-Bucharest-SF-Jiri_Vesely-Daniel_Gimeno_Traver,Jiri Vesely,Total,82,36,65,31,61,31,0,353,20150425,M,Bucharest,SF
16327,20150425-M-Bucharest-SF-Jiri_Vesely-Daniel_Gimeno_Traver,Daniel Gimeno Traver,Total,64,19,50,19,48,19,0,377,20150425,M,Bucharest,SF
16348,20150426-M-Bucharest-F-Guillermo_Garcia_Lopez-Jiri_Vesely,Guillermo Garcia Lopez,Total,81,29,68,28,67,28,1,405,20150426,M,Bucharest,F
16369,20150426-M-Bucharest-F-Guillermo_Garcia_Lopez-Jiri_Vesely,Jiri Vesely,Total,84,28,68,27,65,27,0,523,20150426,M,Bucharest,F
16390,20150429-M-Istanbul-R16-Diego_Schwartzman-Jurgen_Melzer,Diego Schwartzman,Total,41,24,33,22,33,22,1,209,20150429,M,Istanbul,R16
16411,20150429-M-Istanbul-R16-Diego_Schwartzman-Jurgen_Melzer,Jurgen Melzer,Total,47,14,32,14,30,14,1,155,20150429,M,Istanbul,R16
16432,20150430-M-Istanbul-R16-Denis_Istomin-Thomaz_Bellucci,Denis Istomin,Total,66,13,47,13,46,13,0,249,20150430,M,Istanbul,R16
