,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
75607,20210508-M-Madrid_Masters-SF-Alexander_Zverev-Dominic_Thiem,Alexander Zverev,Total,60,11,47,3,2,0,2,0,0,20210508,M,Madrid_Masters,SF
75625,20210508-M-Madrid_Masters-SF-Alexander_Zverev-Dominic_Thiem,Dominic Thiem,Total,30,6,22,2,2,0,1,0,1,20210508,M,Madrid_Masters,SF
75643,20210507-M-Madrid_Masters-QF-John_Isner-Dominic_Thiem,John Isner,Total,67,0,0,0,6,1,3,2,0,20210507,M,Madrid_Masters,QF
75660,20210507-M-Madrid_Masters-QF-John_Isner-Dominic_Thiem,Dominic Thiem,Total,47,0,0,0,1,0,0,1,0,20210507,M,Madrid_Masters,QF
75678,20210211-M-Australian_Open-R64-Lorenzo_Sonego-Feliciano_Lopez,Lorenzo Sonego,Total,96,23,48,14,12,7,2,3,0,20210211,M,Australian_Open,R64
75696,20210211-M-Australian_Open-R64-Lorenzo_Sonego-Feliciano_Lopez,Feliciano Lopez,Total,85,15,66,31,8,4,1,0,2,20210211,M,Australian_Open,R64
75714,20210205-M-Great_Ocean_Road_Open-QF-Karen_Khachanov-Botic_Van_De_Zandschulp,Karen Khachanov,Total,82,17,63,32,5,2,1,2,0,20210205,M,Great_Ocean_Road_Open,QF
75732,20210205-M-Great_Ocean_Road_Open-QF-Karen_Khachanov-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,Total,76,22,59,26,2,1,0,0,1,20210205,M,Great_Ocean_Road_Open,QF
75750,20210413-M-Monte_Carlo_Masters-R64-Lucas_Catarina-Salvatore_Caruso,Lucas Catarina,Total,96,12,81,39,4,0,2,2,0,20210413,M,Monte_Carlo_Masters,R64
75767,20210413-M-Monte_Carlo_Masters-R64-Lucas_Catarina-Salvatore_Caruso,Salvatore Caruso,Total,94,15,80,29,4,0,4,0,0,20210413,M,Monte_Carlo_Masters,R64
75784,20210509-M-Prague_CH-F-Oscar_Otte-Tallon_Griekspoor,Oscar Otte,Total,77,18,58,24,4,1,2,1,0,20210509,M,Prague_CH,F
75802,20210509-M-Prague_CH-F-Oscar_Otte-Tallon_Griekspoor,Tallon Griekspoor,Total,77,12,57,31,11,4,6,1,0,20210509,M,Prague_CH,F
75820,20210511-M-Rome_Masters-R64-Grigor_Dimitrov-Alejandro_Davidovich_Fokina,Grigor Dimitrov,Total,50,7,42,19,2,0,2,0,0,20210511,M,Rome_Masters,R64
75838,20210511-M-Rome_Masters-R64-Grigor_Dimitrov-Alejandro_Davidovich_Fokina,Alejandro Davidovich Fokina,Total,49,14,32,13,3,2,1,0,0,20210511,M,Rome_Masters,R64
75856,20210509-M-Rome_Masters-R64-Reilly_Opelka-Richard_Gasquet,Reilly Opelka,Total,25,0,0,0,2,1,1,0,0,20210509,M,Rome_Masters,R64
75873,20210509-M-Rome_Masters-R64-Reilly_Opelka-Richard_Gasquet,Richard Gasquet,Total,26,0,0,0,0,0,0,0,0,20210509,M,Rome_Masters,R64
75891,20210511-M-Rome_Masters-R32-Lorenzo_Musetti-Reilly_Opelka,Lorenzo Musetti,Total,21,0,0,0,1,0,0,1,0,20210511,M,Rome_Masters,R32
75909,20210511-M-Rome_Masters-R32-Lorenzo_Musetti-Reilly_Opelka,Reilly Opelka,Total,42,0,0,0,1,0,0,1,0,20210511,M,Rome_Masters,R32
75927,20210423-M-Barcelona-QF-Andrey_Rublev-Jannik_Sinner,Andrey Rublev,Total,52,0,0,0,6,1,5,0,0,20210423,M,Barcelona,QF
75945,20210423-M-Barcelona-QF-Andrey_Rublev-Jannik_Sinner,Jannik Sinner,Total,54,0,0,0,4,2,2,0,0,20210423,M,Barcelona,QF
